entry_id,posting_date,account_code,account_name,vendor_id,vendor_name,amount,preparer,approved_by,doc_type
JE014828,2025-03-06,5200,Freight & logistics,V004,Puncak Emas Logistics Sdn Bhd,2057.23,U012,U016,AP invoice
JE022543,2025-10-23,6300,Professional fees,V052,Bandar Utama Events Sdn Bhd,2884.41,U021,U018,AP invoice
JE029569,2025-04-15,6400,Repairs & maintenance,V054,Puchong Electronics Hub,9921.2,U023,U017,AP invoice
JE017809,2025-12-11,6300,Professional fees,V026,Klang Valley Couriers,1551.92,U019,U013,AP invoice
JE002555,2025-03-14,6700,Travel & entertainment,V026,Klang Valley Couriers,9596.9,U012,U024,AP invoice
JE023338,2025-11-19,6300,Professional fees,V036,Cyberjaya Data Systems,7585.56,U011,U024,AP invoice
JE026458,2025-09-15,5200,Freight & logistics,V047,Langkawi Duty Services,7316.25,U003,U016,AP invoice
JE004557,2025-06-24,6600,Marketing,V036,Cyberjaya Data Systems,82417.45,U024,U014,AP invoice
JE027386,2025-02-25,5200,Freight & logistics,V023,Sungai Besi Hardware,6744.13,U006,U023,AP invoice
JE010043,2025-09-29,6500,Utilities,V025,Bukit Bintang Media Group,1011.89,U022,U016,AP invoice
JE031966,2025-08-12,5100,Cost of goods sold,V039,Kuantan Port Services,6053.43,U023,U014,AP invoice
JE025087,2025-06-26,6600,Marketing,V019,Ipoh Engineering Works Sdn Bhd,1004.65,U003,U014,AP invoice
JE001733,2025-10-16,6200,IT & software,V049,Ampang Glass & Aluminium,8674.02,U006,U013,AP invoice
JE018816,2025-12-05,6300,Professional fees,V001,Maju Jaya Trading Sdn Bhd,1137.0,U002,U017,AP invoice
JE035224,2025-02-14,6400,Repairs & maintenance,V009,Nusantara IT Distribution,12689.29,BATCH,U015,AP invoice
JE007232,2025-07-22,6100,Office supplies,V016,Johor Chemical Supplies,4506.12,U010,U015,AP invoice
JE009424,2025-01-10,5100,Cost of goods sold,V050,Cheras Building Materials,1841.38,U005,U017,AP invoice
JE006225,2025-06-09,6600,Marketing,V016,Johor Chemical Supplies,396.51,U011,U015,AP invoice
JE022501,2025-02-26,6700,Travel & entertainment,V045,Shah Alam Plastics Sdn Bhd,4676.52,U005,U017,AP invoice
JE004171,2025-04-15,6500,Utilities,V027,Mutiara Cleaning Services,682.17,U002,U024,AP invoice
JE003663,2025-01-24,6400,Repairs & maintenance,V037,Putra Heights Construction,513.25,U023,U024,AP invoice
JE002112,2025-11-27,6300,Professional fees,V007,Borneo Timber Industries,5383.54,U005,U017,AP invoice
JE005122,2025-05-08,6500,Utilities,V048,Kelantan Textiles Sdn Bhd,7377.3,U022,U024,AP invoice
JE002956,2025-09-25,6700,Travel & entertainment,V058,Skudai Lab Equipment,3216.78,U007,U017,AP invoice
JE005116,2025-06-16,6500,Utilities,V055,Rawang Cement Distributors,1431.4,U020,U024,AP invoice
JE013763,2025-07-30,6500,Utilities,V040,Alor Setar Agri Supplies,1771.31,U024,U023,AP invoice
JE000843,2025-08-06,5100,Cost of goods sold,V027,Mutiara Cleaning Services,687.53,U007,U014,AP invoice
JE035603,2025-04-18,6100,Office supplies,V034,Lestari Environmental Services,93369.22,U004,U023,AP invoice
JE028194,2025-12-11,6200,IT & software,V024,Wawasan Training Consultants,3920.23,U001,U017,AP invoice
JE013989,2025-11-17,5100,Cost of goods sold,V024,Wawasan Training Consultants,3501.72,U021,U017,AP invoice
JE021007,2025-09-18,6700,Travel & entertainment,V045,Shah Alam Plastics Sdn Bhd,10486.93,U004,U024,AP invoice
JE027340,2025-03-21,6600,Marketing,V016,Johor Chemical Supplies,452.57,U003,U018,AP invoice
JE012851,2025-07-25,6400,Repairs & maintenance,V004,Puncak Emas Logistics Sdn Bhd,1980.76,U023,U016,AP invoice
JE022875,2025-07-10,6600,Marketing,V001,Maju Jaya Trading Sdn Bhd,8932.07,U005,U015,AP invoice
JE010610,2025-08-20,6300,Professional fees,V047,Langkawi Duty Services,8519.43,U003,U017,AP invoice
JE032005,2025-05-27,6700,Travel & entertainment,V051,Kepong Cold Storage,721.69,U023,U013,AP invoice
JE033978,2025-09-10,5100,Cost of goods sold,V034,Lestari Environmental Services,1200.28,U012,U017,AP invoice
JE005227,2025-03-19,6500,Utilities,V021,Kenanga Stationery Supplies,4810.48,U007,U023,AP invoice
JE009441,2025-09-08,6200,IT & software,V016,Johor Chemical Supplies,5007.35,U011,U013,AP invoice
JE014304,2025-10-08,5200,Freight & logistics,V053,Setapak Scaffolding,9729.15,U003,U013,AP invoice
JE017579,2025-05-29,6700,Travel & entertainment,V049,Ampang Glass & Aluminium,1368.73,U005,U017,AP invoice
JE022288,2025-01-03,6400,Repairs & maintenance,V001,Maju Jaya Trading Sdn Bhd,2008.56,U007,U016,AP invoice
JE014075,2025-12-24,5200,Freight & logistics,V010,Harmoni Facilities Management,11884.81,U004,U014,AP invoice
JE007328,2025-01-13,6500,Utilities,V035,Merdeka Uniform Supplies,13665.62,U024,U023,AP invoice
JE021739,2025-10-17,6200,IT & software,V026,Klang Valley Couriers,2772.89,U020,U023,AP invoice
JE024439,2025-05-14,6400,Repairs & maintenance,V034,Lestari Environmental Services,490.91,U012,U017,AP invoice
JE003494,2025-06-23,6500,Utilities,V043,Bangsar Interior Design,19953.54,U003,U018,AP invoice
JE027867,2025-07-22,5100,Cost of goods sold,V009,Nusantara IT Distribution,1147.63,U021,U015,AP invoice
JE010789,2025-08-12,5100,Cost of goods sold,V031,Rimba Landscaping Sdn Bhd,146.34,U003,U015,AP invoice
JE026312,2025-12-15,6200,IT & software,V005,Delima Fresh Supplies,12040.34,U022,U023,AP invoice
JE014518,2025-02-26,6500,Utilities,V049,Ampang Glass & Aluminium,422.67,U024,U013,AP invoice
JE018666,2025-04-22,5200,Freight & logistics,V003,TechNova Solutions Sdn Bhd,4048.48,U012,U013,AP invoice
JE015182,2025-02-27,6300,Professional fees,V001,Maju Jaya Trading Sdn Bhd,1460.49,U006,U015,AP invoice
JE010907,2025-11-18,6400,Repairs & maintenance,V029,Temasek Instruments,43192.99,U024,U014,AP invoice
JE030823,2025-10-23,6500,Utilities,V013,Bintang Utara Transport,5161.44,U002,U016,AP invoice
JE009593,2025-07-24,6100,Office supplies,V003,TechNova Solutions Sdn Bhd,6723.59,U019,U015,AP invoice
JE005811,2025-09-22,6200,IT & software,V047,Langkawi Duty Services,15809.98,U011,U013,AP invoice
JE026548,2025-10-08,6300,Professional fees,V054,Puchong Electronics Hub,963.59,U012,U024,AP invoice
JE020475,2025-05-13,6200,IT & software,V050,Cheras Building Materials,1317.97,U006,U014,AP invoice
JE021284,2025-12-12,6500,Utilities,V003,TechNova Solutions Sdn Bhd,6224.86,U006,U018,AP invoice
JE020861,2025-09-16,6500,Utilities,V042,Subang Aviation Parts,14865.69,U006,U016,AP invoice
JE016086,2025-06-10,6700,Travel & entertainment,V051,Kepong Cold Storage,7936.98,U006,U015,AP invoice
JE021012,2025-07-17,6400,Repairs & maintenance,V026,Klang Valley Couriers,5084.89,U001,U017,AP invoice
JE029853,2025-04-24,6600,Marketing,V012,Penang Precision Parts,20060.39,U023,U016,AP invoice
JE016271,2025-04-10,6300,Professional fees,V041,Genting View Hospitality,11030.4,U019,U016,AP invoice
JE034035,2025-03-21,5100,Cost of goods sold,V004,Puncak Emas Logistics Sdn Bhd,415.11,U019,U023,AP invoice
JE023371,2025-02-14,6600,Marketing,V043,Bangsar Interior Design,2821.01,U024,U013,AP invoice
JE002300,2025-12-11,6100,Office supplies,V056,Nilai Furniture Gallery,44805.72,U012,U024,AP invoice
JE025566,2025-10-17,6700,Travel & entertainment,V052,Bandar Utama Events Sdn Bhd,5031.48,U023,U017,AP invoice
JE018672,2025-04-23,6400,Repairs & maintenance,V011,Cahaya Elektrik Sdn Bhd,12298.69,U011,U023,AP invoice
JE006217,2025-09-24,6600,Marketing,V033,Seremban Tools & Dies,502.24,U008,U023,AP invoice
JE013618,2025-01-10,6200,IT & software,V038,Taman Desa Food Industries,3530.59,U024,U014,AP invoice
JE029590,2025-03-17,5200,Freight & logistics,V005,Delima Fresh Supplies,9764.32,U003,U013,AP invoice
JE009401,2025-08-05,6300,Professional fees,V033,Seremban Tools & Dies,6011.63,U022,U016,AP invoice
JE014735,2025-03-26,6200,IT & software,V022,Perdana Auto Fleet Sdn Bhd,842.98,U012,U024,AP invoice
JE010017,2025-04-03,6500,Utilities,V056,Nilai Furniture Gallery,2603.61,U011,U014,AP invoice
JE004757,2025-01-07,6400,Repairs & maintenance,V029,Temasek Instruments,3153.01,U020,U023,AP invoice
JE032832,2025-07-11,6400,Repairs & maintenance,V020,Damai Security Services,52025.7,U005,U017,AP invoice
JE029899,2025-10-29,6700,Travel & entertainment,V022,Perdana Auto Fleet Sdn Bhd,59775.37,U005,U014,AP invoice
JE031562,2025-04-11,5200,Freight & logistics,V003,TechNova Solutions Sdn Bhd,6587.55,U003,U016,AP invoice
JE015892,2025-10-10,6100,Office supplies,V005,Delima Fresh Supplies,3207.34,U020,U013,AP invoice
JE000145,2025-11-20,6700,Travel & entertainment,V058,Skudai Lab Equipment,1302.41,U006,U015,AP invoice
JE020321,2025-06-18,6700,Travel & entertainment,V029,Temasek Instruments,4582.25,U008,U024,AP invoice
JE009768,2025-10-21,6500,Utilities,V004,Puncak Emas Logistics Sdn Bhd,9024.0,U022,U014,AP invoice
JE014647,2025-09-10,6700,Travel & entertainment,V045,Shah Alam Plastics Sdn Bhd,8434.77,U001,U024,AP invoice
JE008547,2025-08-15,6200,IT & software,V016,Johor Chemical Supplies,5346.35,U020,U023,AP invoice
JE008469,2025-04-21,6500,Utilities,V009,Nusantara IT Distribution,1976.17,U006,U024,AP invoice
JE001254,2025-08-07,5100,Cost of goods sold,V015,Seri Wangi Catering Sdn Bhd,5201.46,U005,U017,AP invoice
JE001279,2025-01-14,6400,Repairs & maintenance,V040,Alor Setar Agri Supplies,5957.8,U002,U024,AP invoice
JE002533,2025-11-28,6300,Professional fees,V005,Delima Fresh Supplies,26676.1,U005,U013,AP invoice
JE015015,2025-01-13,5200,Freight & logistics,V054,Puchong Electronics Hub,876.04,U019,U024,AP invoice
JE029765,2025-06-17,6100,Office supplies,V006,KL Metro Services Sdn Bhd,4377.71,U024,U013,AP invoice
JE007862,2025-04-10,5200,Freight & logistics,V034,Lestari Environmental Services,6347.89,U023,U016,AP invoice
JE004385,2025-05-15,5200,Freight & logistics,V019,Ipoh Engineering Works Sdn Bhd,21818.21,U011,U013,AP invoice
JE003129,2025-06-04,6600,Marketing,V009,Nusantara IT Distribution,29432.35,U019,U023,AP invoice
JE025755,2025-09-24,6400,Repairs & maintenance,V035,Merdeka Uniform Supplies,7326.12,U010,U023,AP invoice
JE028185,2025-03-26,6700,Travel & entertainment,V027,Mutiara Cleaning Services,539.72,U021,U015,AP invoice
JE010013,2025-03-10,6200,IT & software,V039,Kuantan Port Services,1890.48,U001,U016,AP invoice
JE022478,2025-03-24,6500,Utilities,V034,Lestari Environmental Services,7938.72,U004,U014,AP invoice
JE029852,2025-12-31,5100,Cost of goods sold,V013,Bintang Utara Transport,2081.7,U022,U013,AP invoice
JE005568,2025-11-25,6200,IT & software,V041,Genting View Hospitality,821.24,U010,U024,AP invoice
JE020738,2025-04-09,6700,Travel & entertainment,V053,Setapak Scaffolding,2953.6,U011,U015,AP invoice
JE008919,2025-10-10,6300,Professional fees,V009,Nusantara IT Distribution,1817.79,U008,U015,AP invoice
JE003508,2025-09-01,6500,Utilities,V028,Sabah Marine Supplies Sdn Bhd,2303.21,U005,U016,AP invoice
JE005706,2025-11-06,6600,Marketing,V005,Delima Fresh Supplies,3546.7,U001,U015,AP invoice
JE014160,2025-10-10,6100,Office supplies,V003,TechNova Solutions Sdn Bhd,3254.43,U021,U013,AP invoice
JE026502,2025-01-06,5100,Cost of goods sold,V016,Johor Chemical Supplies,954.81,U012,U023,AP invoice
JE033278,2025-04-17,5100,Cost of goods sold,V045,Shah Alam Plastics Sdn Bhd,2596.58,U005,U023,AP invoice
JE009709,2025-05-02,6300,Professional fees,V004,Puncak Emas Logistics Sdn Bhd,597.55,U002,U023,AP invoice
JE032149,2025-06-17,6300,Professional fees,V041,Genting View Hospitality,4705.68,U005,U015,AP invoice
JE020211,2025-11-07,6200,IT & software,V008,Selangor Steel Works Sdn Bhd,43930.38,U023,U015,AP invoice
JE006040,2025-01-29,6500,Utilities,V034,Lestari Environmental Services,1043.34,U002,U016,AP invoice
JE025389,2025-11-06,6200,IT & software,V052,Bandar Utama Events Sdn Bhd,28833.23,U021,U023,AP invoice
JE012258,2025-04-29,6500,Utilities,V021,Kenanga Stationery Supplies,237.28,U024,U018,AP invoice
JE004141,2025-08-12,6400,Repairs & maintenance,V013,Bintang Utara Transport,5633.81,U009,U014,AP invoice
JE033009,2025-08-07,6100,Office supplies,V016,Johor Chemical Supplies,5375.66,U023,U024,AP invoice
JE018839,2025-07-31,6500,Utilities,V019,Ipoh Engineering Works Sdn Bhd,357.82,U022,U024,AP invoice
JE021980,2025-09-19,5200,Freight & logistics,V013,Bintang Utara Transport,4796.62,U001,U024,AP invoice
JE034399,2025-07-25,6700,Travel & entertainment,V043,Bangsar Interior Design,13343.91,U021,U013,AP invoice
JE028177,2025-09-04,5200,Freight & logistics,V020,Damai Security Services,4155.05,U012,U013,AP invoice
JE020037,2025-10-22,6700,Travel & entertainment,V003,TechNova Solutions Sdn Bhd,823.86,U007,U014,AP invoice
JE000041,2025-09-30,6700,Travel & entertainment,V001,Maju Jaya Trading Sdn Bhd,727.64,U001,U013,AP invoice
JE002347,2025-02-27,5100,Cost of goods sold,V058,Skudai Lab Equipment,110.24,U005,U014,AP invoice
JE025457,2025-05-19,6500,Utilities,V012,Penang Precision Parts,9961.31,U023,U018,AP invoice
JE007824,2025-03-27,5100,Cost of goods sold,V016,Johor Chemical Supplies,14670.39,U007,U018,AP invoice
JE030394,2025-06-20,6100,Office supplies,V004,Puncak Emas Logistics Sdn Bhd,1062.05,U024,U014,AP invoice
JE006001,2025-04-24,6100,Office supplies,V005,Delima Fresh Supplies,4621.17,U020,U023,AP invoice
JE029890,2025-11-17,6500,Utilities,V032,Kota Kinabalu Freight,736.0,U011,U015,AP invoice
JE000929,2025-02-26,6400,Repairs & maintenance,V009,Nusantara IT Distribution,1719.71,U003,U023,AP invoice
JE014877,2025-10-13,5100,Cost of goods sold,V060,Miri Offshore Supplies,2018.41,U007,U017,AP invoice
JE019144,2025-08-12,6700,Travel & entertainment,V036,Cyberjaya Data Systems,1383.01,U007,U015,AP invoice
JE027019,2025-09-25,6300,Professional fees,V028,Sabah Marine Supplies Sdn Bhd,13721.34,U022,U015,AP invoice
JE026873,2025-05-13,5200,Freight & logistics,V002,Sinar Harapan Enterprise,1267.45,U020,U014,AP invoice
JE011766,2025-12-18,6600,Marketing,V060,Miri Offshore Supplies,1832.21,U002,U013,AP invoice
JE014281,2025-10-07,6600,Marketing,V050,Cheras Building Materials,2643.53,U021,U018,AP invoice
JE001759,2025-05-02,5200,Freight & logistics,V041,Genting View Hospitality,805.21,U010,U015,AP invoice
JE016405,2025-09-26,5200,Freight & logistics,V041,Genting View Hospitality,17482.26,U022,U013,AP invoice
JE020197,2025-08-04,6400,Repairs & maintenance,V047,Langkawi Duty Services,9418.82,U024,U018,AP invoice
JE003068,2025-01-08,5100,Cost of goods sold,V045,Shah Alam Plastics Sdn Bhd,2805.27,U021,U023,AP invoice
JE023097,2025-12-19,6400,Repairs & maintenance,V005,Delima Fresh Supplies,4354.26,U003,U017,AP invoice
JE029814,2025-06-02,6400,Repairs & maintenance,V013,Bintang Utara Transport,16795.66,U005,U024,AP invoice
JE009933,2025-09-05,6400,Repairs & maintenance,V036,Cyberjaya Data Systems,1063.05,U001,U017,AP invoice
JE014859,2025-08-27,6400,Repairs & maintenance,V035,Merdeka Uniform Supplies,999.13,U022,U015,AP invoice
JE033813,2025-01-08,6100,Office supplies,V045,Shah Alam Plastics Sdn Bhd,1829.4,U001,U023,AP invoice
JE025066,2025-12-15,6200,IT & software,V042,Subang Aviation Parts,26609.57,U023,U024,AP invoice
JE017839,2025-09-17,6400,Repairs & maintenance,V011,Cahaya Elektrik Sdn Bhd,8185.99,U012,U018,AP invoice
JE014674,2025-06-26,5200,Freight & logistics,V018,Gemilang Printing Press,7315.05,U020,U018,AP invoice
JE013820,2025-07-24,6100,Office supplies,V053,Setapak Scaffolding,1190.41,U020,U016,AP invoice
JE024185,2025-09-29,6200,IT & software,V002,Sinar Harapan Enterprise,13423.07,U012,U024,AP invoice
JE006368,2025-02-06,6700,Travel & entertainment,V011,Cahaya Elektrik Sdn Bhd,1636.96,U024,U015,AP invoice
JE020965,2025-04-10,5100,Cost of goods sold,V030,Angkasa Telecommunication,1478.55,U001,U024,AP invoice
JE022250,2025-10-15,6100,Office supplies,V035,Merdeka Uniform Supplies,9672.14,U010,U023,AP invoice
JE018645,2025-10-20,6500,Utilities,V005,Delima Fresh Supplies,3902.66,U009,U015,AP invoice
JE011776,2025-06-10,6100,Office supplies,V044,Petaling Jaya Motors,8554.22,U009,U023,AP invoice
JE023003,2025-01-23,6700,Travel & entertainment,V060,Miri Offshore Supplies,3715.36,U009,U023,AP invoice
JE030147,2025-09-01,6600,Marketing,V043,Bangsar Interior Design,8359.74,U011,U013,AP invoice
JE013884,2025-08-13,6500,Utilities,V035,Merdeka Uniform Supplies,10912.64,U008,U016,AP invoice
JE023446,2025-01-10,6700,Travel & entertainment,V005,Delima Fresh Supplies,96210.39,U019,U018,AP invoice
JE018639,2025-12-25,6400,Repairs & maintenance,V057,Kajang Satay House Catering,5459.93,U020,U015,AP invoice
JE012791,2025-03-28,5100,Cost of goods sold,V054,Puchong Electronics Hub,434.92,U001,U014,AP invoice
JE024076,2025-04-21,5200,Freight & logistics,V006,KL Metro Services Sdn Bhd,3014.11,U021,U017,AP invoice
JE002096,2025-09-15,6100,Office supplies,V049,Ampang Glass & Aluminium,11526.86,U006,U017,AP invoice
JE014149,2025-10-24,6100,Office supplies,V057,Kajang Satay House Catering,7225.66,U021,U017,AP invoice
JE034728,2025-08-06,6600,Marketing,V027,Mutiara Cleaning Services,3253.22,U011,U018,AP invoice
JE017448,2025-03-27,6500,Utilities,V010,Harmoni Facilities Management,7143.24,U007,U014,AP invoice
JE025756,2025-09-17,6600,Marketing,V029,Temasek Instruments,4853.09,U005,U016,AP invoice
JE021770,2025-06-27,6500,Utilities,V045,Shah Alam Plastics Sdn Bhd,3524.88,U011,U017,AP invoice
JE017186,2025-12-18,5100,Cost of goods sold,V008,Selangor Steel Works Sdn Bhd,11481.2,U020,U018,AP invoice
JE035497,2025-06-16,6600,Marketing,V008,Selangor Steel Works Sdn Bhd,5000.0,U010,U015,AP invoice
JE023034,2025-01-28,6300,Professional fees,V041,Genting View Hospitality,520.61,U004,U016,AP invoice
JE011449,2025-04-30,5200,Freight & logistics,V028,Sabah Marine Supplies Sdn Bhd,363.09,U004,U014,AP invoice
JE000960,2025-08-22,6300,Professional fees,V020,Damai Security Services,621.64,U010,U013,AP invoice
JE027362,2025-04-21,6600,Marketing,V007,Borneo Timber Industries,2223.97,U020,U013,AP invoice
JE011755,2025-08-19,5100,Cost of goods sold,V016,Johor Chemical Supplies,5621.72,U012,U013,AP invoice
JE024457,2025-09-25,6500,Utilities,V014,Melaka Packaging Industries,15068.2,U009,U015,AP invoice
JE002636,2025-05-19,6700,Travel & entertainment,V024,Wawasan Training Consultants,1254.19,U020,U016,AP invoice
JE020904,2025-12-08,5100,Cost of goods sold,V003,TechNova Solutions Sdn Bhd,2844.77,U004,U024,AP invoice
JE031986,2025-07-04,6200,IT & software,V022,Perdana Auto Fleet Sdn Bhd,5599.89,U004,U018,AP invoice
JE034882,2025-03-13,5200,Freight & logistics,V046,Titiwangsa Medical Supplies,1980.61,U022,U017,AP invoice
JE000071,2025-11-11,6400,Repairs & maintenance,V058,Skudai Lab Equipment,10286.49,U012,U018,AP invoice
JE035744,2025-01-15,6500,Utilities,V034,Lestari Environmental Services,9160.39,U002,U016,AP invoice
JE002901,2025-11-13,6200,IT & software,V024,Wawasan Training Consultants,12366.11,U001,U016,AP invoice
JE019453,2025-03-06,6300,Professional fees,V013,Bintang Utara Transport,2206.54,U003,U014,AP invoice
JE014004,2025-08-05,6500,Utilities,V025,Bukit Bintang Media Group,1364.71,U003,U023,AP invoice
JE020124,2025-04-25,5200,Freight & logistics,V050,Cheras Building Materials,12737.32,U021,U017,AP invoice
JE005349,2025-08-13,6600,Marketing,V013,Bintang Utara Transport,1946.97,U021,U023,AP invoice
JE029560,2025-10-21,6400,Repairs & maintenance,V018,Gemilang Printing Press,1359.8,U011,U023,AP invoice
JE002343,2025-02-28,5100,Cost of goods sold,V048,Kelantan Textiles Sdn Bhd,14790.81,U007,U013,AP invoice
JE033120,2025-12-10,6700,Travel & entertainment,V034,Lestari Environmental Services,7111.93,U005,U014,AP invoice
JE003116,2025-01-13,5100,Cost of goods sold,V054,Puchong Electronics Hub,1512.29,U020,U014,AP invoice
JE002301,2025-08-27,6700,Travel & entertainment,V008,Selangor Steel Works Sdn Bhd,13293.07,U011,U017,AP invoice
JE011837,2025-09-23,6700,Travel & entertainment,V025,Bukit Bintang Media Group,6447.22,U009,U023,AP invoice
JE020654,2025-06-02,5100,Cost of goods sold,V020,Damai Security Services,10570.77,U012,U016,AP invoice
JE002438,2025-07-18,5200,Freight & logistics,V026,Klang Valley Couriers,2966.72,U019,U016,AP invoice
JE006129,2025-11-21,6500,Utilities,V043,Bangsar Interior Design,6557.1,U001,U014,AP invoice
JE021654,2025-08-11,5200,Freight & logistics,V004,Puncak Emas Logistics Sdn Bhd,1065.47,U019,U015,AP invoice
JE004668,2025-01-13,6600,Marketing,V027,Mutiara Cleaning Services,4931.2,U024,U014,AP invoice
JE013821,2025-02-10,6600,Marketing,V009,Nusantara IT Distribution,1039.08,U002,U023,AP invoice
JE031289,2025-07-24,6200,IT & software,V053,Setapak Scaffolding,1078.27,U019,U015,AP invoice
JE015485,2025-08-07,6100,Office supplies,V045,Shah Alam Plastics Sdn Bhd,9389.08,U020,U024,AP invoice
JE025449,2025-04-01,6500,Utilities,V014,Melaka Packaging Industries,3975.76,U002,U024,AP invoice
JE019320,2025-02-21,5200,Freight & logistics,V047,Langkawi Duty Services,3589.32,U024,U016,AP invoice
JE032080,2025-01-20,6500,Utilities,V049,Ampang Glass & Aluminium,5058.19,U008,U024,AP invoice
JE032969,2025-11-18,6500,Utilities,V023,Sungai Besi Hardware,6511.37,U005,U015,AP invoice
JE013432,2025-01-20,5100,Cost of goods sold,V020,Damai Security Services,15240.63,U004,U017,AP invoice
JE033601,2025-03-21,6400,Repairs & maintenance,V042,Subang Aviation Parts,11797.65,U010,U024,AP invoice
JE004238,2025-03-07,6100,Office supplies,V016,Johor Chemical Supplies,108739.39,U001,U018,AP invoice
JE023336,2025-06-06,6500,Utilities,V006,KL Metro Services Sdn Bhd,8053.49,U011,U024,AP invoice
JE029880,2025-05-14,6700,Travel & entertainment,V022,Perdana Auto Fleet Sdn Bhd,5303.36,U009,U018,AP invoice
JE022849,2025-05-12,6700,Travel & entertainment,V047,Langkawi Duty Services,10572.94,U024,U015,AP invoice
JE012196,2025-05-14,6400,Repairs & maintenance,V025,Bukit Bintang Media Group,4948.34,U007,U024,AP invoice
JE024447,2025-09-26,5100,Cost of goods sold,V046,Titiwangsa Medical Supplies,2100.01,U002,U013,AP invoice
JE003029,2025-07-04,6700,Travel & entertainment,V047,Langkawi Duty Services,6336.84,U023,U017,AP invoice
JE010951,2025-02-17,5200,Freight & logistics,V026,Klang Valley Couriers,4210.32,U021,U015,AP invoice
JE013539,2025-10-08,6600,Marketing,V041,Genting View Hospitality,7083.94,U010,U015,AP invoice
